Date,AMZN,SP500,TSLA
2013-05-03,2.154241346,1.047792003,0.809705679
2013-05-06,-0.907158815,0.190459123,8.685723041
2013-05-07,0.782809833,0.521526934,-6.941449771
2013-05-08,0.367781166,0.412916872,0.503008729
2013-05-09,0.570372235,-0.369528761,21.82908558
2013-05-10,1.324813835,0.43106998,10.07951598
2013-05-13,0.333110179,0.004151898,13.43764027
2013-05-14,1.433705243,1.008969693,-5.333475196
2013-05-15,-0.661953625,0.509973334,1.903769824
2013-05-16,-0.919719494,-0.502370149,8.373383756
2013-05-17,2.164632756,1.024576815,-0.816506332
2013-05-20,-0.844741938,-0.070923848,-1.719745056
2013-05-21,0.45839241,0.171953475,-2.647737062
2013-05-22,-2.2189943,-0.83091698,-0.400499073
2013-05-23,-0.442218338,-0.29292111,6.102800759
2013-05-24,-0.023029711,-0.055261328,4.584224016
2013-05-28,2.098154266,0.631986621,12.7939398
2013-05-29,-0.660751598,-0.707403259,-5.304660548
2013-05-30,0.488250803,0.366225536,0.305231122
2013-05-31,0.884156971,-1.441194682,-7.096992071
2013-06-03,-0.865660033,0.591734415,-5.433544685
2013-06-04,-0.443206189,-0.552686988,2.400929482
2013-06-05,0.551621475,-1.387665076,0.557165408
2013-06-06,0.246582391,0.845308479,2.054729943
2013-06-07,3.319456565,1.274881846,4.705116593
2013-06-10,1.505461376,-0.034796932,-1.969597713
2013-06-11,-2.263436954,-1.020663422,-5.738916004
2013-06-12,-1.138372746,-0.840587258,3.392520761
2013-06-13,#VALUE!,#VALUE!,#VALUE!
2013-06-14,-0.654953617,-0.5903771,2.136174662
2013-06-17,1.474396781,0.753750595,1.876471171
2013-06-18,1.32176738,0.775986782,1.157537465
2013-06-19,-1.286027405,-1.394939729,1.23988323
2013-06-20,-1.711564526,-2.532979469,-3.926039288
2013-06-21,-0.029376964,0.26651236,-1.099016779
2013-06-24,-1.011230826,-1.222073889,1.929887109
2013-06-25,0.545289482,0.94510864,0.892507128
2013-06-26,1.993920374,0.954369411,3.190623395
2013-06-27,-0.007349481,0.617932118,3.284342167
2013-06-28,0.050296702,-0.430015892,-1.745253062
2013-07-01,1.575487863,0.538782997,8.75222137
2013-07-02,0.576011136,-0.054642663,0.544536701
2013-07-03,0.10553725,0.082233795,-2.21424533
2013-07-05,0.649092711,1.014867617,4.122318159
2013-07-08,1.633979551,0.523643517,1.257641257
2013-07-09,0.322821794,0.720229186,1.501564232
2013-07-10,0.273897378,0.018020621,-0.9605912
2013-07-11,2.476388544,1.346184325,2.694878468
2013-07-12,2.598748084,0.308008586,3.358141114
2013-07-15,-0.319314335,0.137229156,-2.053432971
2013-07-16,0.097640788,-0.371729911,-15.44274348
2013-07-17,0.591171087,0.276856257,9.776477677
2013-07-18,-1.49492107,0.501924586,-1.019840112
2013-07-19,0.367510219,0.160765986,0.544489793
2013-07-22,-0.575070202,0.203014034,2.271706016
2013-07-23,-0.800754279,-0.185502335,0.252748901
2013-07-24,#VALUE!,#VALUE!,#VALUE!
2013-07-25,1.48080602,0.255211434,1.928578627
2013-07-26,2.798185363,0.082658133,4.198384731
2013-07-29,-1.912450097,-0.374412985,3.962379936
2013-07-30,-1.212923567,0.037265126,-2.162680726
2013-07-31,-0.394392356,-0.013751472,1.909583024
2013-08-01,1.433691385,1.246149255,0.941230759
2013-08-02,-0.446178092,0.16380183,1.791197644
2013-08-05,-1.064203635,-0.148175262,4.726993457
2013-08-06,-0.079847544,-0.574029502,-1.764242546
2013-08-07,-1.285110072,-0.381394762,-5.732887627
2013-08-08,-0.394924183,0.387709899,13.40146271
2013-08-09,0.512545834,-0.357744362,-0.31334073
2013-08-12,-0.191992891,-0.115413366,-3.7424184
2013-08-13,-0.921092659,0.277138781,-1.332023607
2013-08-14,-0.898731637,-0.519061086,-4.263490603
2013-08-15,-1.685795609,-1.438538725,0.22211623
2013-08-16,-0.577721767,-0.33108894,1.654373837
2013-08-19,0.262868519,-0.591887357,2.021569583
2013-08-20,0.530743818,0.381281721,3.178642155
2013-08-21,-0.881754381,-0.57974655,-1.156654871
2013-08-22,1.79691033,0.858134579,6.061553543
2013-08-23,0.096457698,0.393787201,2.972427773
2013-08-26,-1.319075985,-0.40489353,1.459776442
2013-08-27,-1.862164247,-1.60029092,1.684526783
2013-08-28,0.230967994,0.274250777,-0.336006667
2013-08-29,0.848592915,0.196010678,-0.234713487
2013-08-30,-1.062196414,-0.318101088,1.754781245
2013-09-03,2.744919006,0.41539315,-0.035676607
2013-09-04,1.6618843,0.808281775,0.989395782
